,DEPT,GR,SP,RHOB,DPHI,NPHI,VSHALE,PHIT,PHIE
144,317.0,85.4428,-78.0748,2.3796,0.19319,0.312947,0.5451770857387215,0.2600559563911198,0.11827940795681306
145,317.5,67.3843,-82.4707,2.3927,0.18553899999999998,0.31910499999999997,0.5183228751641774,0.2610102694780418,0.12572267615480642
146,318.0,53.0176,-86.9399,2.4043,0.178762,0.321633,0.4910208806011179,0.26019573337489604,0.1324341952445009
147,318.5,44.8032,-90.2813,2.412,0.174267,0.31938,0.47060852836067074,0.2572669544354657,0.13619493161275947
148,319.0,42.0689,-91.169,2.4174,0.171117,0.31234300000000004,0.4651856382296344,0.251832461507646,0.13468361717427185
149,319.5,43.9615,-88.6822,2.4216,0.168626,0.302191,0.4803773056599163,0.24469790391112875,0.12715058412967162
150,320.0,52.2175,-82.849,2.4249,0.166729,0.291479,0.5160118699410489,0.2374432215099012,0.1149197007737504
151,320.5,65.953,-74.8816,2.428,0.164887,0.282338,0.564684095726809,0.23119523028492606,0.10064296073513122
152,321.0,77.1892,-66.7087,2.4324,0.16233799999999998,0.27571,0.6146117050001528,0.2262406134450665,0.08719048427531367
153,321.5,79.9472,-59.944,2.4369,0.159698,0.27155799999999997,0.6559367301994563,0.2227635501692321,0.07664475546360346
154,322.0,78.6893,-55.1499,2.4374,0.159432,0.269474,0.6852235135465348,0.22139873452664538,0.06969111575954093
155,322.5,82.1879,-52.0418,2.4297,0.163907,0.269116,0.704210654265555,0.22281037465185502,0.06590493494111878
156,323.0,89.9763,-50.2631,2.4149,0.172548,0.270245,0.715076593970494,0.2267213844446527,0.06459822907569553
157,323.5,92.2098,-49.8917,2.3999,0.181328,0.272714,0.7173454476312655,0.23157371329665205,0.06545536427223084
158,324.0,86.2272,-51.3114,2.3937,0.184956,0.276305,0.7086726109532974,0.235109734976032,0.06849390523002963
159,324.5,77.0974,-54.6527,2.4033,0.179376,0.280261,0.6882608696050582,0.2352891598618602,0.07334883808669275
160,325.0,65.2329,-59.2519,2.4291,0.164283,0.283292,0.660164715171508,0.23156344848982535,0.07869343047340764
161,325.5,53.4158,-63.6283,2.4605,0.145899,0.284474,0.6334296285775376,0.22606633415548633,0.08286922007749112
162,326.0,50.0601,-66.2062,2.4774,0.136039,0.284237,0.617681438345704,0.22281974967448467,0.08518812620371927
